I'm the processus 0 on 4 processes.
Send task row 498 to slave 1
Send task row 499 to slave 3
Send task row 500 to slave 2
Send task row 501 to slave 1
Send task row 502 to slave 3
Send task row 503 to slave 2
Send task row 504 to slave 1
Send task row 505 to slave 2
Send task row 506 to slave 3
Send task row 507 to slave 1
Send task row 508 to slave 3
Send task row 509 to slave 2
Send task row 510 to slave 1
Send task row 511 to slave 3
Send task row 512 to slave 2
Send task row 513 to slave 1
Send task row 514 to slave 3
Send task row 515 to slave 1
Send task row 516 to slave 2
Send task row 517 to slave 3
Send task row 518 to slave 1
Send task row 519 to slave 2
Send task row 520 to slave 3
Send task row 521 to slave 2
Send task row 522 to slave 1
Send task row 523 to slave 1
Send task row 524 to slave 1
Send task row 525 to slave 2
Send task row 526 to slave 3
Send task row 527 to slave 1
Send task row 528 to slave 2
Send task row 529 to slave 3
Send task row 530 to slave 1
Send task row 531 to slave 2
Send task row 532 to slave 3
Send task row 533 to slave 1
Send task row 534 to slave 2
Send task row 535 to slave 3
Send task row 536 to slave 3
Send task row 537 to slave 1
Send task row 538 to slave 1
Send task row 539 to slave 1
Send task row 540 to slave 2
Send task row 541 to slave 2
Send task row 542 to slave 2
Send task row 543 to slave 2
Send task row 544 to slave 2
Send task row 545 to slave 2
Send task row 546 to slave 2
Send task row 547 to slave 2
Send task row 548 to slave 2
Send task row 549 to slave 2
Send task row 550 to slave 2
Send task row 551 to slave 2
Send task row 552 to slave 1
Send task row 553 to slave 2
Send task row 554 to slave 1
Send task row 555 to slave 2
Send task row 556 to slave 1
Send task row 557 to slave 2
Send task row 558 to slave 1
Send task row 559 to slave 2
Send task row 560 to slave 1
Send task row 561 to slave 2
Send task row 562 to slave 1
Send task row 563 to slave 2
Send task row 564 to slave 2
Send task row 565 to slave 2
Send task row 566 to slave 2
Send task row 567 to slave 2
Send task row 568 to slave 2
Send task row 569 to slave 2
Send task row 570 to slave 2
Send task row 571 to slave 2
Send task row 572 to slave 2
Send task row 573 to slave 2
Send task row 574 to slave 2
Send task row 575 to slave 3
Send task row 576 to slave 1
Send task row 577 to slave 1
Send task row 578 to slave 1
Send task row 579 to slave 1
Send task row 580 to slave 1
Send task row 581 to slave 1
Send task row 582 to slave 1
Send task row 583 to slave 1
Send task row 584 to slave 1
Send task row 585 to slave 1
Send task row 586 to slave 1
Send task row 587 to slave 1
Send task row 588 to slave 1
Send task row 589 to slave 1
Send task row 590 to slave 1
Send task row 591 to slave 1
Send task row 592 to slave 1
Send task row 593 to slave 2
Send task row 594 to slave 1
Send task row 595 to slave 2
Send task row 596 to slave 1
Send task row 597 to slave 2
Send task row 598 to slave 1
Send task row 599 to slave 2
Master finished, saving image ...
